Type;Nominal Diameter [mm];Diameter [mm];Wall Thickness [mm];InnerDiameter_mm;Roughness_mm
AluFlex;20;20;2.5;15;0.01
AluFlex;26;26;3;20;0.01
AluFlex;32;32;3;26;0.01
Steel;40;48.3;2.6;43.1;0.10
Steel;50;60.3;2.9;54.5;0.10
Steel;65;76.1;2.9;70.3;0.10
Steel;80;88.9;3.2;82.5;0.10
Steel;100;114.3;3.6;107.1;0.10
Steel;125;139.7;3.6;132.5;0.10
Steel;150;168.3;4;160.3;0.10
Steel;200;219.1;4.5;210.1;0.10
Steel;250;273;5;263;0.10
Steel;300;323.9;5.6;312.7;0.10
Steel;350;355.6;5.6;344.4;0.10
Steel;400;406.4;6.3;393.8;0.10
Steel;450;457;6.3;444.4;0.10
Steel;500;508;6.3;495.4;0.10
Steel;600;610;7.1;595.8;0.10
Steel;700;711;8;695;0.10
Steel;800;813;8.8;795.4;0.10
Steel;900;914;10;894;0.10
Steel;1000;1016;11;994;0.10
Steel;1100;1118;11;1096;0.10
Steel;1200;1219;12.5;1194;0.10
