id,node_connc,ref_build,length_m
1,2,1,13.935
2,3,1,13.702
3,4,1,13.471
4,5,1,13.237
5,6,1,13.004
6,7,1,12.771
7,9,1,18.372
8,9,1,32.608
9,10,1,14.568
10,11,1,14.402
11,12,1,14.321
12,13,1,14.240
13,13,2,14.312
14,14,1,14.346
15,15,1,13.102
16,16,1,13.137
17,17,1,13.179
18,18,1,13.216
19,19,1,13.174
20,20,1,13.182
21,22,1,12.220
22,22,1,16.381
23,23,1,12.144
24,23,1,16.483
25,24,1,12.490
26,25,1,12.461
27,26,1,12.432
28,27,1,12.403
29,28,1,12.374
30,29,1,12.345
31,31,2,14.845
32,31,2,14.355
33,32,2,15.392
34,32,2,15.052
35,33,1,12.142
36,34,1,12.047
37,35,1,11.955
38,36,1,11.866
39,37,1,11.776
40,38,1,11.680
41,40,1,12.412
42,40,1,16.622
43,41,1,12.478
44,41,1,16.561
45,42,1,12.168
46,43,1,12.418
47,44,1,12.669
48,45,1,12.978
49,46,1,13.241
50,47,1,13.543
51,48,1,15.091
52,49,1,15.312
53,50,1,15.564
54,51,1,15.800
55,52,1,16.134
56,53,2,14.901
57,57,1,12.404
58,58,1,13.931
59,59,1,13.614
60,61,1,9.244
60,62,1,13.765
61,62,1,21.068
62,63,1,7.825
63,64,1,13.268
64,64,1,15.527
65,67,1,9.725
66,68,1,9.868
67,69,1,10.889
68,70,1,10.998
69,71,1,11.694
70,72,1,11.851
71,73,1,12.001
72,74,1,12.158
73,75,1,10.644
74,76,1,10.694
75,77,1,10.744
76,78,1,10.794
77,79,1,10.844
78,80,1,10.894
79,81,1,11.511
80,82,1,11.438
81,83,1,11.365
82,84,1,11.293
83,86,1,12.030
84,87,1,12.282
85,88,1,13.220
86,89,1,13.312
87,90,1,13.401
88,91,1,13.496
89,92,1,13.592
90,92,3,29.172
91,93,1,12.762
92,94,1,12.661
93,95,1,12.907
94,96,1,12.800
95,97,1,12.328
96,98,1,12.224
97,100,1,13.433
98,101,1,13.572
99,102,1,13.744
100,103,1,13.733
101,104,1,14.543
102,105,1,14.667
103,106,1,14.793
104,107,1,14.910
105,108,1,15.047
106,109,1,15.064
107,110,1,14.963
108,111,1,14.976
109,113,1,11.047
110,114,1,11.821
111,115,1,11.746
112,116,1,11.149
113,117,1,11.045
114,118,3,18.996
115,119,1,10.891
116,120,1,11.771
117,121,1,11.660
118,123,1,5.250
119,125,1,10.887
120,126,1,10.792
121,127,1,5.246
122,128,1,14.584
123,129,1,16.285
124,130,1,10.515
125,133,1,11.798
126,134,1,12.700
127,134,1,5.966
128,134,1,25.874
129,134,1,17.768
130,135,1,9.370
131,135,1,18.562
132,135,1,12.722
133,136,1,12.444
134,137,1,12.309
135,138,1,18.934
136,138,1,11.905
137,139,1,11.827
138,140,1,10.909
139,141,1,14.366
140,142,1,11.243
141,143,1,10.586
142,144,1,10.555
143,145,1,10.859
144,147,1,13.358
145,148,1,19.387
146,149,1,12.927
147,150,1,9.807
148,151,1,11.911
149,152,1,12.376
150,153,1,12.039
151,153,2,57.006
152,154,2,14.570
153,154,2,49.283
154,155,1,20.125
155,156,1,10.962
156,156,2,58.389
157,157,1,5.464
158,1581,1,22.369
159,158,1,50.291
160,159,1,14.546
161,160,1,13.912
162,160,4,56.441
163,161,1,12.706
164,162,1,12.807
165,163,1,14.472
166,165,1,20.282
167,165,1,21.708
168,166,1,18.029
169,167,1,12.908
170,168,1,17.355
171,169,1,43.398
172,169,1,30.307
173,170,1,16.302
174,172,1,24.796
175,173,1,13.172
176,174,1,9.356
177,174,1,24.280
178,175,1,14.614
179,176,1,24.449
180,177,1,25.135
181,179,1,5.637
182,179,1,16.650
183,180,1,5.710
184,181,1,5.440
185,181,1,16.303
186,182,1,5.603
187,183,1,32.843
188,183,1,24.843
189,183,1,12.712
190,184,1,23.238
191,184,1,16.150
192,185,1,25.794
193,185,1,10.829
194,186,1,21.817
195,187,1,10.788
196,188,1,24.422
197,189,1,24.823
198,189,1,14.877
199,190,1,14.603
200,192,1,6.088
201,192,1,6.300
202,193,2,25.044
203,193,1,6.204
204,195,1,5.266
205,196,2,15.195
206,197,1,4.997
207,197,1,21.246
208,198,1,19.296
209,200,1,12.229
210,202,1,12.144
211,203,1,10.836
212,204,1,10.767
213,205,1,11.199
214,206,1,10.719
215,207,1,38.268
216,207,1,19.285
217,208,1,14.001
218,208,1,19.153
219,209,1,15.194
220,210,1,15.019
221,211,1,14.700
222,212,1,14.821
223,213,1,13.755
224,214,1,16.605
225,215,1,14.418
226,216,3,26.970
